tag,name,facet_code,facet_name,description,parent,examples
kidney-disease,Kidney Disease,B,Health Conditions & Topics,Chronic kidney disease and dialysis care.,Chronic Disease,[]
covid-19,COVID-19,B,Health Conditions & Topics,"COVID-19 surveillance, response, and long-term effects.",Infectious Disease,[]
influenza,Influenza,B,Health Conditions & Topics,Seasonal and pandemic influenza.,Infectious Disease,[]
hiv-aids,HIV/AIDS,B,Health Conditions & Topics,"HIV and AIDS prevention, testing, and care.",Infectious Disease,[]
sexually-transmitted-infections,Sexually Transmitted Infections,B,Health Conditions & Topics,Sexually transmitted infections and reporting.,Infectious Disease,[]
tuberculosis,Tuberculosis,B,Health Conditions & Topics,"Tuberculosis screening, treatment, and contact tracing.",Infectious Disease,[]
vaccine-preventable-disease,Vaccine Preventable Disease,B,Health Conditions & Topics,"Measles, pertussis, and other vaccine-preventable illness.",Infectious Disease,[]
antimicrobial-resistance,Antimicrobial Resistance,B,Health Conditions & Topics,Antibiotic resistance and stewardship.,Infectious Disease,[]
mental-health,Mental Health,B,Health Conditions & Topics,"Mental health conditions, treatment, and access.",Behavioral Health,[]
substance-use,Substance Use,B,Health Conditions & Topics,Substance use disorders and treatment services.,Behavioral Health,[]
opioids,Opioids,B,Health Conditions & Topics,"Opioid use, overdose, and harm reduction.",Behavioral Health,[]
tobacco,Tobacco,B,Health Conditions & Topics,"Tobacco, vaping, and cessation programs.",Behavioral Health,[]
alcohol,Alcohol,B,Health Conditions & Topics,Alcohol use and related harms.,Behavioral Health,[]
suicide-prevention,Suicide Prevention,B,Health Conditions & Topics,Suicide surveillance and prevention efforts.,Behavioral Health,[]
prenatal-care,Prenatal Care,B,Health Conditions & Topics,Access to and quality of prenatal care.,Maternal & Child Health,[]
birth-outcomes,Birth Outcomes,B,Health Conditions & Topics,"Preterm birth, low birth weight, and delivery outcomes.",Maternal & Child Health,[]
infant-mortality,Infant Mortality,B,Health Conditions & Topics,Infant and perinatal mortality.,Maternal & Child Health,[]
maternal-mortality,Maternal Mortality,B,Health Conditions & Topics,Maternal deaths and severe maternal morbidity.,Maternal & Child Health,[]
breastfeeding,Breastfeeding,B,Health Conditions & Topics,"Breastfeeding initiation, duration, and support.",Maternal & Child Health,[]
child-development,Child Development,B,Health Conditions & Topics,Early childhood development and screening.,Maternal & Child Health,[]
unintentional-injury,Unintentional Injury,B,Health Conditions & Topics,"Falls, poisonings, and other unintentional injuries.",Injury & Violence,[]
motor-vehicle-crashes,Motor Vehicle Crashes,B,Health Conditions & Topics,Traffic-related injuries and deaths.,Injury & Violence,[]
firearm-injury,Firearm Injury,B,Health Conditions & Topics,Firearm-related injuries and deaths.,Injury & Violence,[]
domestic-violence,Domestic Violence,B,Health Conditions & Topics,Intimate partner and family violence.,Injury & Violence,[]
child-abuse-and-neglect,Child Abuse and Neglect,B,Health Conditions & Topics,"Child abuse and neglect, including physical, sexual, and emotional abuse and neglect.",Injury & Violence,[]
occupational-injury,Occupational Injury,B,Health Conditions & Topics,Workplace injuries and illnesses.,Injury & Violence,[]
air-quality,Air Quality,B,Health Conditions & Topics,Outdoor and indoor air quality.,Environmental Health,[]
water-quality,Water Quality,B,Health Conditions & Topics,"Drinking water, wells, and recreational water.",Environmental Health,[]
lead-exposure,Lead Exposure,B,Health Conditions & Topics,Childhood and occupational lead exposure.,Environmental Health,[]
climate-health,Climate Health,B,Health Conditions & Topics,"Health effects of extreme heat, flooding, and climate change.",Environmental Health,[]
foodborne-illness,Foodborne Illness,B,Health Conditions & Topics,Food safety and foodborne outbreaks.,Environmental Health,[]
environmental-contaminants,Environmental Contaminants,B,Health Conditions & Topics,Chemical contaminants and hazardous exposures.,Environmental Health,[]
insurance-coverage,Insurance Coverage,C,Health System & Access,Health insurance coverage and enrollment.,Access to Care,[]
uninsured-rate,Uninsured Rate,C,Health System & Access,Rates and characteristics of the uninsured.,Access to Care,[]
provider-shortage,Provider Shortage,C,Health System & Access,Health professional shortage areas and unmet need.,Access to Care,[]
telehealth,Telehealth,C,Health System & Access,Telehealth and remote care delivery.,Access to Care,[]
barriers-to-care,Barriers to Care,C,Health System & Access,"Barriers to receiving care, including cost, coverage, distance, transportation, wait times, discrimination, and related obstacles.",Access to Care,[]
dental-access,Dental Access,C,Health System & Access,Access to oral and dental health services.,Access to Care,[]
health-care-spending,Health Care Spending,C,Health System & Access,Total and per capita health care spending.,Cost & Financing,[]
prescription-drug-costs,Prescription Drug Costs,C,Health System & Access,Prescription drug pricing and spending.,Cost & Financing,[]
affordability,Affordability,C,Health System & Access,"Affordability of premiums, deductibles, and care.",Cost & Financing,[]
medical-debt,Medical Debt,C,Health System & Access,Medical debt and financial hardship.,Cost & Financing,[]
public-program-financing,Public Program Financing,C,Health System & Access,"Medicaid, MinnesotaCare, and public program financing.",Cost & Financing,[]
primary-care-workforce,Primary Care Workforce,C,Health System & Access,"Primary care physicians, NPs, and PAs.",Health Care Workforce,[]
nursing-workforce,Nursing Workforce,C,Health System & Access,Registered nurses and licensed practical nurses.,Health Care Workforce,[]
behavioral-health-workforce,Behavioral Health Workforce,C,Health System & Access,Mental health and substance use treatment providers.,Health Care Workforce,[]
rural-workforce,Rural Workforce,C,Health System & Access,Workforce supply and retention outside metro areas.,Health Care Workforce,[]
workforce-training,Workforce Training,C,Health System & Access,"Education, residency, and pipeline programs.",Health Care Workforce,[]
workforce-diversity,Workforce Diversity,C,Health System & Access,Diversity and cultural representation in the workforce.,Health Care Workforce,[]
hospitals,Hospitals,C,Health System & Access,"Hospital capacity, utilization, and finances.",Facilities & Services,[]
community-health-centers,Community Health Centers,C,Health System & Access,Federally qualified and community health centers.,Facilities & Services,[]
long-term-care,Long Term Care,C,Health System & Access,Nursing facilities and home and community-based services.,Facilities & Services,[]
emergency-services,Emergency Services,C,Health System & Access,Emergency departments and ambulance services.,Facilities & Services,[]
rural-health-clinics,Rural Health Clinics,C,Health System & Access,Rural clinics and critical access hospitals.,Facilities & Services,[]
patient-safety,Patient Safety,C,Health System & Access,Adverse events and patient safety reporting.,Quality & Outcomes,[]
care-quality,Care Quality,C,Health System & Access,Clinical quality measurement and performance.,Quality & Outcomes,[]
health-outcomes,Health Outcomes,C,Health System & Access,Population-level health outcome measures.,Quality & Outcomes,[]
patient-experience,Patient Experience,C,Health System & Access,Patient-reported experience and satisfaction.,Quality & Outcomes,[]
housing,Housing,D,Determinants & Equity,"Housing quality, cost, and stability.",Social Determinants,[]
food-security,Food Security,D,Determinants & Equity,"Food access, insecurity, and nutrition programs.",Social Determinants,[]
education,Education,D,Determinants & Equity,Educational attainment and school-based health.,Social Determinants,[]
employment,Employment,D,Determinants & Equity,"Employment, working conditions, and job quality.",Social Determinants,[]
low-income,Low Income,D,Determinants & Equity,"Low-income households, poverty, and economic stability.",Social Determinants,[]
child-care-access,Child Care Access,D,Determinants & Equity,Availability and affordability of child care.,Social Determinants,[]
health-disparities,Health Disparities,D,Determinants & Equity,Differences in health outcomes between populations.,Health Equity,[]
structural-racism,Structural Racism,D,Determinants & Equity,Structural and institutional drivers of inequity.,Health Equity,[]
language-access,Language Access,D,Determinants & Equity,"Interpretation, translation, and language services as a topic. Do not use this tag only because a file is translated; set Publication Language instead.",Health Equity,[]
cultural-responsiveness,Cultural Responsiveness,D,Determinants & Equity,Culturally responsive and community-informed care.,Health Equity,[]
disability-equity,Disability Equity,D,Determinants & Equity,Equitable access for people with disabilities.,Health Equity,[]
built-environment,Built Environment,D,Determinants & Equity,"Housing stock, transit, parks, and neighborhood design.",Community Conditions,[]
community-safety,Community Safety,D,Determinants & Equity,Neighborhood safety and violence prevention.,Community Conditions,[]
social-connectedness,Social Connectedness,D,Determinants & Equity,"Social support, isolation, belonging, and connection to others as a determinant of health.",Community Conditions,[]
broadband-access,Broadband Access,D,Determinants & Equity,Internet and broadband access as a determinant of health and telehealth access.,Community Conditions,[]
vital-statistics,Vital Statistics,E,Public Health Practice,"Births, deaths, and vital records.",Surveillance & Data,[]
disease-surveillance,Disease Surveillance,E,Public Health Practice,Reportable disease and syndromic surveillance.,Surveillance & Data,[]
survey-data,Survey Data,E,Public Health Practice,Population surveys such as BRFSS and student surveys.,Surveillance & Data,[]
data-quality,Data Quality,E,Public Health Practice,"Data completeness, accuracy, and methods.",Surveillance & Data,[]
registries,Registries,E,Public Health Practice,Disease and immunization registries.,Surveillance & Data,[]
health-promotion,Health Promotion,E,Public Health Practice,Health promotion and education campaigns.,Programs & Interventions,[]
screening-programs,Screening Programs,E,Public Health Practice,Population screening and early detection programs.,Programs & Interventions,[]
immunization-programs,Immunization Programs,E,Public Health Practice,Vaccination delivery and coverage programs.,Programs & Interventions,[]
home-visiting,Home Visiting,E,Public Health Practice,Family home visiting and early intervention.,Programs & Interventions,[]
program-evaluation,Program Evaluation,E,Public Health Practice,Evaluation of program implementation and impact.,Programs & Interventions,[]
public-health-policy,Public Health Policy,E,Public Health Practice,Policy analysis and recommendations.,Policy & Regulation,[]
licensing-regulation,Licensing Regulation,E,Public Health Practice,Facility and professional licensing and oversight.,Policy & Regulation,[]
statute-rule,Statute Rule,E,Public Health Practice,Statutory and rulemaking requirements.,Policy & Regulation,[]
legislative-reporting,Legislative Reporting,E,Public Health Practice,Reports prepared for the legislature.,Policy & Regulation,[]
emergency-response,Emergency Response,E,Public Health Practice,Public health emergency response operations.,Emergency Preparedness,[]
outbreak-investigation,Outbreak Investigation,E,Public Health Practice,Outbreak detection and investigation.,Emergency Preparedness,[]
preparedness-planning,Preparedness Planning,E,Public Health Practice,Preparedness planning and exercises.,Emergency Preparedness,[]
medical-countermeasures,Medical Countermeasures,E,Public Health Practice,"Stockpiles and distribution of vaccines, antivirals, PPE, and other medical countermeasures.",Emergency Preparedness,[]
local-public-health,Local Public Health,E,Public Health Practice,Local public health departments and CHBs.,Partnerships,[]
tribal-health-partnerships,Tribal Health Partnerships,E,Public Health Practice,Partnerships with tribal health systems.,Partnerships,[]
community-partnerships,Community Partnerships,E,Public Health Practice,Community-based organizations and coalitions.,Partnerships,[]
academic-partnerships,Academic Partnerships,E,Public Health Practice,Research and academic collaborations.,Partnerships,[]
